PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=326 ttl=64 time=584 ms
64 bytes from 10.0.0.2: icmp_seq=327 ttl=64 time=576 ms
64 bytes from 10.0.0.2: icmp_seq=328 ttl=64 time=582 ms
64 bytes from 10.0.0.2: icmp_seq=329 ttl=64 time=576 ms
64 bytes from 10.0.0.2: icmp_seq=330 ttl=64 time=593 ms
64 bytes from 10.0.0.2: icmp_seq=331 ttl=64 time=593 ms
64 bytes from 10.0.0.2: icmp_seq=332 ttl=64 time=583 ms
64 bytes from 10.0.0.2: icmp_seq=333 ttl=64 time=596 ms
64 bytes from 10.0.0.2: icmp_seq=334 ttl=64 time=585 ms
64 bytes from 10.0.0.2: icmp_seq=335 ttl=64 time=591 ms
64 bytes from 10.0.0.2: icmp_seq=336 ttl=64 time=635 ms
64 bytes from 10.0.0.2: icmp_seq=337 ttl=64 time=637 ms
64 bytes from 10.0.0.2: icmp_seq=338 ttl=64 time=643 ms
64 bytes from 10.0.0.2: icmp_seq=339 ttl=64 time=671 ms
64 bytes from 10.0.0.2: icmp_seq=340 ttl=64 time=656 ms
64 bytes from 10.0.0.2: icmp_seq=341 ttl=64 time=672 ms
64 bytes from 10.0.0.2: icmp_seq=342 ttl=64 time=631 ms
64 bytes from 10.0.0.2: icmp_seq=343 ttl=64 time=685 ms
64 bytes from 10.0.0.2: icmp_seq=344 ttl=64 time=670 ms
64 bytes from 10.0.0.2: icmp_seq=345 ttl=64 time=646 ms
64 bytes from 10.0.0.2: icmp_seq=346 ttl=64 time=638 ms
64 bytes from 10.0.0.2: icmp_seq=347 ttl=64 time=628 ms
64 bytes from 10.0.0.2: icmp_seq=348 ttl=64 time=619 ms
64 bytes from 10.0.0.2: icmp_seq=349 ttl=64 time=613 ms
64 bytes from 10.0.0.2: icmp_seq=350 ttl=64 time=644 ms
64 bytes from 10.0.0.2: icmp_seq=351 ttl=64 time=647 ms
64 bytes from 10.0.0.2: icmp_seq=352 ttl=64 time=661 ms
64 bytes from 10.0.0.2: icmp_seq=353 ttl=64 time=659 ms
64 bytes from 10.0.0.2: icmp_seq=354 ttl=64 time=662 ms
64 bytes from 10.0.0.2: icmp_seq=355 ttl=64 time=623 ms
64 bytes from 10.0.0.2: icmp_seq=356 ttl=64 time=660 ms
64 bytes from 10.0.0.2: icmp_seq=357 ttl=64 time=678 ms
64 bytes from 10.0.0.2: icmp_seq=358 ttl=64 time=664 ms
64 bytes from 10.0.0.2: icmp_seq=359 ttl=64 time=663 ms
64 bytes from 10.0.0.2: icmp_seq=360 ttl=64 time=676 ms
64 bytes from 10.0.0.2: icmp_seq=361 ttl=64 time=675 ms
64 bytes from 10.0.0.2: icmp_seq=362 ttl=64 time=659 ms
